# Code-Switched Transcript
# Format: [start → end | LANG (hi%)] text  {CS} if code-switched

[0.00s → 2.46s | HINDI (hi=80%)] आजो कुछ भी हैं। उसके भी रून्स बने हुए हैं।  {CS:2 switches}
[2.46s → 4.48s | HINDI (hi=81%)] कुलम्स्लो हैं, कौस्लो हैं।
[4.48s → 7.00s | HINDI (hi=77%)] तो उससे हम वो सारी थीज़े समझ लेते हैं।  {CS:3 switches}
[7.74s → 11.72s | HINDI (hi=91%)] अप्टिक्स हैं, लाइट हैं, इसके लिए भी रिफ्राक्षण के लिए हूए हूए हैं।
[11.72s → 13.52s | HINDI (hi=79%)] सब कुछ हम लोग करते हैं।  {CS:2 switches}
[16.68s → 19.80s | HINDI (hi=53%)] तो उसको अगर हम लोग देखें,  {CS:4 switches}
[19.80s → 24.98s | HINDI (hi=67%)] तो जो क्लासिकल फिसिक्स जिसे कहते हैं हम,  {CS:8 switches}
[27.58s → 33.66s | HINDI (hi=75%)] वो दो जगे पर जो हमारी तोड़े अनुखों से पाहर की जिज़े हैं,  {CS:7 switches}
[33.76s → 36.02s | HINDI (hi=93%)] उसमें इसमें तोड़े चेंजेस करने परता हैं,
[36.04s → 37.72s | HINDI (hi=64%)] इसे काम नहीं चलता हैं।  {CS:3 switches}
[37.72s → 40.88s | HINDI (hi=64%)] तो एक तो है, जिसमें कि हम  {CS:5 switches}
[40.88s → 43.88s | HINDI (hi=56%)] हाई स्पीट जब इनकि लिल्मॉल हो जाते हैं।  {CS:4 switches}
[46.22s → 49.66s | HINDI (hi=82%)] जब हम ऐसी चीजों की चर्चा करते हैं,
[49.72s → 53.20s | HINDI (hi=61%)] जिनकि स्पीड बहुत जादा है,  {CS:6 switches}
[53.38s → 55.62s | ENGLISH (hi=42%)] और बहुत जादा यहने कितनी जादा,  {CS:2 switches}
[55.66s → 60.36s | HINDI (hi=80%)] तो जो प्रकाश की लाइट की जो स्पीड है वाक्यूम में,  {CS:4 switches}
[60.36s → 62.88s | HINDI (hi=87%)] उसकी अपकी, उसके खम्परेबल है,
[62.96s → 64.30s | HINDI (hi=100%)] उहां से तुल्ना करना है,
[64.52s → 66.46s | HINDI (hi=100%)] उसका इतना परसेन, उसका दश परसेन,
[66.46s → 68.36s | HINDI (hi=100%)] उसका पाँच परसेन, उसका पचाज परसेन,
[69.06s → 72.10s | HINDI (hi=84%)] उसका नब्य परसेन, उससे से तुल्ना करना हैं।
[72.10s → 75.40s | HINDI (hi=67%)] तो उससे तुल्ना करने योगी जब हो जाएं,  {CS:3 switches}
[75.40s → 77.68s | HINDI (hi=100%)] तो हम कहते हैं, और बहुत ज़ादा स्पीर होगी है,
[78.30s → 82.92s | HINDI (hi=80%)] वैसी हालत में जो नूटन के नियमों से हम गदियों के चर्चा करते हैं,
[83.04s → 85.88s | HINDI (hi=73%)] और बहुत सटीग, बहुत अच्छी चर्चा होती हैं,  {CS:2 switches}
[85.94s → 88.78s | HINDI (hi=61%)] और बहुत सटीग उसके परनाम निकलते हैं,  {CS:4 switches}
[88.78s → 90.78s | HINDI (hi=90%)] वो यहाँ पर आकर के गर्ब राते हैं,
[91.94s → 96.42s | HINDI (hi=79%)] तो आम जंदगे में तो हमें उतने हाई स्पीट से वास्ता कम परता हैं,  {CS:5 switches}
[96.46s → 98.16s | HINDI (hi=67%)] लाइट खुद आती हैं अपनी स्पीट से,  {CS:3 switches}
[98.38s → 100.78s | HINDI (hi=100%)] वही हाई स्पीट से हमरा वास्ता परता हैं,
[102.10s → 105.60s | HINDI (hi=87%)] लेकिन जो इक्सेलेरेटर्स पे कांग करते हैं,
[105.60s → 110.96s | HINDI (hi=76%)] जो फिसिसिस्ट पार्टिकल्स को इक्सेलेरेट कराते हैं मशीनों के अंडर में,  {CS:6 switches}
[111.10s → 112.94s | HINDI (hi=75%)] वो फिर बहुत बड़ी-बड़ी वेलाफिटी से,  {CS:1 switches}
[112.98s → 117.28s | HINDI (hi=73%)] बहुत बड़ी-बड़ी स्पीट के साज में आमना सामना होता हैं,  {CS:3 switches}
[117.28s → 119.66s | HINDI (hi=74%)] तो वहाँ पे हाई स्पीट जब इंपाल हो,  {CS:3 switches}
[119.66s → 122.50s | HINDI (hi=52%)] तो फिर चीजे कुछ पडलती हैं,  {CS:4 switches}
[122.50s → 125.10s | HINDI (hi=76%)] और उसमें से निकलती हैं हमारे रिलेटिविटी की थेरीज,  {CS:2 switches}
[129.78s → 132.90s | HINDI (hi=100%)] तो नूटन्स लोज को हमें मूडिफाई करना होता हैं,
[132.90s → 134.26s | HINDI (hi=57%)] हमें चेंज करना होता हैं,  {CS:3 switches}
[134.26s → 136.64s | HINDI (hi=80%)] हमें लिलियर मोमेंटम अलक से डिफाइन करना होता हैं,  {CS:1 switches}
[136.64s → 138.24s | HINDI (hi=100%)] तो थोड़ा परिवर्तन करना होता हैं,
[138.24s → 139.02s | HINDI (hi=66%)] बहुत जादा नहीं,  {CS:1 switches}
[139.26s → 140.84s | HINDI (hi=88%)] तोड़ा परिवर्तन करना होता हैं,
[140.84s → 141.74s | HINDI (hi=100%)] फॉर्मुलास के नदर में,
[141.74s → 143.08s | HINDI (hi=66%)] इकूइशंस के नदर में,  {CS:1 switches}
[143.44s → 148.64s | HINDI (hi=58%)] स्पेस और टाइम को देखने के जो अपनी द्रिस्टी हैं,  {CS:8 switches}
[148.64s → 152.50s | HINDI (hi=84%)] उसमें बहुत बढ़ा परिवर्तन इसके कारण से आता हैं,
[152.50s → 154.70s | HINDI (hi=78%)] हाई स्पीच के जब हम बात करते हैं,  {CS:2 switches}
[154.76s → 158.92s | HINDI (hi=62%)] तो फिर लिंट किसको कहते हैं,  {CS:8 switches}
[159.00s → 161.60s | HINDI (hi=69%)] और टाइम इंटरवल्स किसको कहते हैं,  {CS:6 switches}
[161.72s → 164.34s | ENGLISH (hi=50%)] दो घत्नाएं एक साथ हो रही हैं,  {CS:3 switches}
[164.46s → 166.36s | HINDI (hi=81%)] ये हम किसको कहते हैं,
[166.36s → 169.30s | HINDI (hi=60%)] एक पहले हो रही हैं, एक बाद में हो रही हैं,  {CS:3 switches}
[169.30s → 172.36s | HINDI (hi=82%)] ये जो हमारी स्पेश और टाइम की जो कल्पना हैं,
[173.02s → 175.84s | HINDI (hi=63%)] हम अपनी आम जद्ड़ी से लेगर के आते हैं,  {CS:4 switches}
[175.92s → 178.50s | HINDI (hi=87%)] उनमें फिर बद्लाव करना होता हैं,
[178.50s → 180.72s | HINDI (hi=74%)] और वो एक चुनाओ की पून काम होता हैं,  {CS:1 switches}
[180.72s → 184.72s | HINDI (hi=63%)] क्योंकि वहाँ पर हमारा अपना अन्भाव काम नहीं आता हैं,  {CS:4 switches}
[184.72s → 189.20s | HINDI (hi=66%)] और इस कारण से, हम लोग उस स्थुती के अंदर में  {CS:7 switches}
[189.20s → 192.12s | HINDI (hi=79%)] थोड़ा चिन्तन करने के ज़दुरत पड़त्ते हैं,  {CS:2 switches}
[192.14s → 196.92s | HINDI (hi=78%)] कि वो लिकुइशन और फार्मुले इसके अपना काम नहीं चलता हैं,  {CS:6 switches}
[196.92s → 226.60s | HINDI (hi=74%)] तो वो एक साइद हैं, और दूसरा साइद, जहां क्लासिकल फिजिक्स हैं,  {CS:32 switches}
[232.02s → 236.08s | HINDI (hi=67%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:5 switches}
[236.76s → 239.68s | HINDI (hi=71%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:3 switches}
[239.72s → 244.18s | HINDI (hi=51%)] तो वो एक साइद हैं, तो वो एक साइद हैं,  {CS:6 switches}
